Country or area,UN continental region,UN statistical region,Population_2018,Population_2019
China,Asia,Eastern Asia,1427647786,1433783686
India,Asia,Southern Asia,1352642280,1366417754
United States,Americas,Northern America,327096265,329064917
Indonesia,Asia,South-eastern Asia,267670543,270625568
Pakistan,Asia,Southern Asia,212228286,216565318
Brazil,Americas,South America,209469323,211049527
Nigeria,Africa,Western Africa,195874683,200963599
Bangladesh,Asia,Southern Asia,161376708,163046161
Russia,Europe,Eastern Europe,145734038,145872256
Mexico,Americas,Central America,126190788,127575529
Japan,Asia,Eastern Asia,127202192,126860301
Ethiopia,Africa,Eastern Africa,109224414,112078730
Philippines,Asia,South-eastern Asia,106651394,108116615
Egypt,Africa,Northern Africa,98423598,100388073
Vietnam,Asia,South-eastern Asia,95545962,96462106
DR Congo,Africa,Middle Africa,84068091,86790567
Germany,Europe,Western Europe,83124418,83517045
Turkey,Asia,Western Asia,82340088,83429615
Iran,Asia,Southern Asia,81800188,82913906
Thailand,Asia,South-eastern Asia,68863514,69037513
United Kingdom,Europe,Northern Europe,67141684,67530172
France,Europe,Western Europe,64990511,65129728
Italy,Europe,Southern Europe,60627291,60550075
South Africa,Africa,Southern Africa,57792518,58558270
Tanzania,Africa,Eastern Africa,56313438,58005463
Myanmar,Asia,South-eastern Asia,53708320,54045420
Kenya,Africa,Eastern Africa,51392565,52573973
South Korea,Asia,Eastern Asia,51171706,51225308
Colombia,Americas,South America,49661048,50339443
Spain,Europe,Southern Europe,46692858,46736776
Argentina,Americas,South America,44361150,44780677
Uganda,Africa,Eastern Africa,42729036,44269594
Ukraine,Europe,Eastern Europe,44246156,43993638
Algeria,Africa,Northern Africa,42228408,43053054
Sudan,Africa,Northern Africa,41801533,42813238
Iraq,Asia,Western Asia,38433600,39309783
Afghanistan,Asia,Southern Asia,37171921,38041754
Poland,Europe,Eastern Europe,37921592,37887768
Canada,Americas,Northern America,37074562,37411047
Morocco,Africa,Northern Africa,36029093,36471769
Saudi Arabia,Asia,Western Asia,33702756,34268528
Uzbekistan,Asia,Central Asia,32476244,32981716
Peru,Americas,South America,31989260,32510453
Malaysia,Asia,South-eastern Asia,31528033,31949777
Angola,Africa,Middle Africa,30809787,31825295
Mozambique,Africa,Eastern Africa,29496004,30366036
Yemen,Asia,Western Asia,28498683,29161922
Ghana,Africa,Western Africa,28206728,28833629
Nepal,Asia,Southern Asia,28095714,28608710
Venezuela,Americas,South America,28887118,28515829
Madagascar,Africa,Eastern Africa,26262313,26969307
North Korea,Asia,Eastern Asia,25549604,25666161
Ivory Coast,Africa,Western Africa,25069230,25716544
Cameroon,Africa,Middle Africa,25216267,25876380
Australia,Oceania,Australia and New Zealand,24898152,25203198
Taiwan,Asia,Eastern Asia,23726460,23773876
Niger,Africa,Western Africa,22442822,23310715
Sri Lanka,Asia,Southern Asia,21228763,21323733
Burkina Faso,Africa,Western Africa,19751466,20321378
Mali,Africa,Western Africa,19077749,19658031
Romania,Europe,Eastern Europe,19506114,19364557
Malawi,Africa,Eastern Africa,18143217,18628747
Chile,Americas,South America,18729160,18952038
Kazakhstan,Asia,Central Asia,18319618,18551427
Zambia,Africa,Eastern Africa,17351708,17861030
Guatemala,Americas,Central America,17247849,17581472
Ecuador,Americas,South America,17084358,17373662
Netherlands,Europe,Western Europe,17059560,17097130
Syria,Asia,Western Asia,16945057,17070135
Cambodia,Asia,South-eastern Asia,16249792,16486542
Senegal,Africa,Western Africa,15854323,16296364
Chad,Africa,Middle Africa,15477729,15946876
Somalia,Africa,Eastern Africa,15008226,15442905
Zimbabwe,Africa,Eastern Africa,14438802,14645468
Guinea,Africa,Western Africa,12414293,12771246
Rwanda,Africa,Eastern Africa,12301970,12626950
Benin,Africa,Western Africa,11485044,11801151
Tunisia,Africa,Northern Africa,11565201,11694719
Belgium,Europe,Western Europe,11482178,11539328
Bolivia,Americas,South America,11353142,11513100
Cuba,Americas,Caribbean,11338134,11333483
Haiti,Americas,Caribbean,11123178,11263770
South Sudan,Africa,Eastern Africa,10975927,11062113
Burundi,Africa,Eastern Africa,10524117,10864245
Dominican Republic,Americas,Caribbean,10627141,10738958
Czech Republic,Europe,Eastern Europe,10665677,10689209
Greece,Europe,Southern Europe,10522246,10473455
Portugal,Europe,Southern Europe,10256193,10226187
Jordan,Asia,Western Asia,9965318,10101694
Azerbaijan,Asia,Western Asia,9949537,10047718
Sweden,Europe,Northern Europe,9971638,10036379
United Arab Emirates,Asia,Western Asia,9630959,9770529
Honduras,Americas,Central America,9587522,9746117
Hungary,Europe,Eastern Europe,9707499,9684679
Belarus,Europe,Eastern Europe,9452617,9452411
Tajikistan,Asia,Central Asia,9100835,9321018
Austria,Europe,Western Europe,8891388,8955102
Papua New Guinea,Oceania,Melanesia,8606323,8776109
Serbia,Europe,Southern Europe,8802754,8772235
Switzerland,Europe,Western Europe,8525611,8591365
Israel,Asia,Western Asia,8381516,8519377
Togo,Africa,Western Africa,7889093,8082366
Sierra Leone,Africa,Western Africa,7650150,7813215
Hong Kong,Asia,Eastern Asia,7371730,7436154
Laos,Asia,South-eastern Asia,7061507,7169455
Paraguay,Americas,South America,6956066,7044636
Bulgaria,Europe,Eastern Europe,7051608,7000119
Lebanon,Asia,Western Asia,6859408,6855713
Libya,Africa,Northern Africa,6678559,6777452
Nicaragua,Americas,Central America,6465501,6545502
El Salvador,Americas,Central America,6420746,6453553
Kyrgyzstan,Asia,Central Asia,6304030,6415850
Turkmenistan,Asia,Central Asia,5850901,5942089
Singapore,Asia,South-eastern Asia,5757499,5804337
Denmark,Europe,Northern Europe,5752126,5771876
Finland,Europe,Northern Europe,5522576,5532156
Slovakia,Europe,Eastern Europe,5453014,5457013
Congo,Africa,Middle Africa,5244359,5380508
Norway,Europe,Northern Europe,5337962,5378857
Costa Rica,Americas,Central America,4999441,5047561
Palestine,Asia,Western Asia,4862979,4981420
Oman,Asia,Western Asia,4829473,4974986
Liberia,Africa,Western Africa,4818973,4937374
Ireland,Europe,Northern Europe,4818690,4882495
New Zealand,Oceania,Australia and New Zealand,4743131,4783063
Central African Republic,Africa,Middle Africa,4666368,4745185
Mauritania,Africa,Western Africa,4403313,4525696
Panama,Americas,Central America,4176869,4246439
Kuwait,Asia,Western Asia,4137312,4207083
Croatia,Europe,Southern Europe,4156405,4130304
Moldova,Europe,Eastern Europe,4051944,4043263
Georgia,Asia,Western Asia,4002942,3996765
Eritrea,Africa,Eastern Africa,3452786,3497117
Uruguay,Americas,South America,3449285,3461734
Bosnia and Herzegovina,Europe,Southern Europe,3323925,3301000
Mongolia,Asia,Eastern Asia,3170216,3225167
Armenia,Asia,Western Asia,2951745,2957731
Jamaica,Americas,Caribbean,2934847,2948279
Puerto Rico,Americas,Caribbean,3039596,2933408
Albania,Europe,Southern Europe,2882740,2880917
Qatar,Asia,Western Asia,2781682,2832067
Lithuania,Europe,Northern Europe,2801264,2759627
Namibia,Africa,Southern Africa,2448301,2494530
Gambia,Africa,Western Africa,2280094,2347706
Botswana,Africa,Southern Africa,2254068,2303697
Gabon,Africa,Middle Africa,2119275,2172579
Lesotho,Africa,Southern Africa,2108328,2125268
North Macedonia,Europe,Southern Europe,2082957,2083459
Slovenia,Europe,Southern Europe,2077837,2078654
Guinea-Bissau,Africa,Western Africa,1874303,1920922
Latvia,Europe,Northern Europe,1928459,1906743
Bahrain,Asia,Western Asia,1569446,1641172
Trinidad and Tobago,Americas,Caribbean,1389843,1394973
Equatorial Guinea,Africa,Middle Africa,1308975,1355986
Estonia,Europe,Northern Europe,1322920,1325648
East Timor,Asia,South-eastern Asia,1267974,1293119
Mauritius,Africa,Eastern Africa,1189265,1198575
Cyprus,Asia,Western Asia,1170125,1179551
Eswatini,Africa,Southern Africa,1136281,1148130
Djibouti,Africa,Eastern Africa,958923,973560
Fiji,Oceania,Melanesia,883483,889953
Réunion,Africa,Eastern Africa,882526,888927
Comoros,Africa,Eastern Africa,832322,850886
Guyana,Americas,South America,779006,782766
Bhutan,Asia,Southern Asia,754388,763092
Solomon Islands,Oceania,Melanesia,652857,669823
Macau,Asia,Eastern Asia,631636,640445
Montenegro,Europe,Southern Europe,627809,627987
Luxembourg,Europe,Western Europe,604245,615729
Western Sahara,Africa,Northern Africa,567402,582463
Suriname,Americas,South America,575990,581372
Cape Verde,Africa,Western Africa,543767,549935
Maldives,Asia,Southern Asia,515696,530953
Guadeloupe,Americas,Caribbean,446928,447905
Malta,Europe,Southern Europe,439248,440372
Brunei,Asia,South-eastern Asia,428963,433285
Belize,Americas,Central America,383071,390353
Bahamas,Americas,Caribbean,385637,389482
Martinique,Americas,Caribbean,375673,375554
Iceland,Europe,Northern Europe,336713,339031
Vanuatu,Oceania,Melanesia,292680,299882
Barbados,Americas,Caribbean,286641,287025
New Caledonia,Oceania,Melanesia,279993,282750
French Guiana,Americas,South America,275713,282731
French Polynesia,Oceania,Polynesia,277679,279287
Mayotte,Africa,Eastern Africa,259531,266150
São Tomé and Príncipe,Africa,Middle Africa,211028,215056
Samoa,Oceania,Polynesia,196129,197097
Saint Lucia,Americas,Caribbean,181889,182790
Guernsey,Europe,Northern Europe,170499,172259
Guam,Oceania,Micronesia,165768,167294
Curaçao,Americas,Caribbean,162752,163424
Kiribati,Oceania,Micronesia,115847,117606
F.S. Micronesia,Oceania,Micronesia,112640,113815
Grenada,Americas,Caribbean,111454,112003
Tonga,Oceania,Polynesia,110589,110940
Saint Vincent and the Grenadines,Americas,Caribbean,110211,110589
Aruba,Americas,Caribbean,105845,106314
U.S. Virgin Islands,Americas,Caribbean,104680,104578
Seychelles,Africa,Eastern Africa,97096,97739
Antigua and Barbuda,Americas,Caribbean,96286,97118
Isle of Man,Europe,Northern Europe,84077,84584
Andorra,Europe,Southern Europe,77006,77142
Dominica,Americas,Caribbean,71625,71808
Cayman Islands,Americas,Caribbean,64174,64948
Bermuda,Americas,Northern America,62756,62506
Marshall Islands,Oceania,Micronesia,58413,58791
Greenland,Americas,Northern America,56564,56672
Northern Mariana Islands,Oceania,Micronesia,56882,56188
American Samoa,Oceania,Polynesia,55465,55312
Saint Kitts and Nevis,Americas,Caribbean,52441,52823
Faroe Islands,Europe,Northern Europe,48497,48678
Sint Maarten,Americas,Caribbean,41940,42388
Monaco,Europe,Western Europe,38682,38964
Turks and Caicos Islands,Americas,Caribbean,37665,38191
Liechtenstein,Europe,Western Europe,37910,38019
San Marino,Europe,Southern Europe,33785,33860
Gibraltar,Europe,Southern Europe,33718,33701
British Virgin Islands,Americas,Caribbean,29802,30030
Caribbean Netherlands,Americas,Caribbean,25711,25979
Palau,Oceania,Micronesia,17907,18008
Cook Islands,Oceania,Polynesia,17518,17548
Anguilla,Americas,Caribbean,14731,14869
Tuvalu,Oceania,Polynesia,11508,11646
Wallis and Futuna,Oceania,Polynesia,11661,11432
Nauru,Oceania,Micronesia,10670,10756
"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,6035,6059
Saint Pierre and Miquelon,Americas,Northern America,5849,5822
Montserrat,Americas,Caribbean,4993,4989
Falkland Islands,Americas,South America,3234,3377
Niue,Oceania,Polynesia,1620,1615
Tokelau,Oceania,Polynesia,1319,1340
Vatican City,Europe,Southern Europe,801,799
